Date,Time,Precipitation_AddisAbeba (mm),Relative Humidity_AddisAbeba (% RH),Temperature_AddisAbeba (?C)
12/2/2012,11:45:00 AM,0,34.3,22.3
12/2/2012,12:00:00 PM,0,34.3,22.5
12/2/2012,12:15:00 PM,0,34.7,22.3
12/2/2012,12:30:00 PM,0,34.5,22.3
12/2/2012,12:45:00 PM,0,34.5,22.4
12/2/2012,1:00:00 PM,0,33.4,23
12/2/2012,1:15:00 PM,0,32.6,23.1
12/2/2012,1:30:00 PM,0,31.9,23
12/2/2012,1:45:00 PM,0,30.7,23.6
12/2/2012,2:00:00 PM,0,30.7,23.3
12/2/2012,2:15:00 PM,0,30.9,23.4
12/2/2012,2:30:00 PM,0,29.4,23.8
12/2/2012,2:45:00 PM,0,29,23.7
12/2/2012,3:00:00 PM,0,28.8,23.8
12/2/2012,3:15:00 PM,0,27.5,24.2
12/2/2012,3:30:00 PM,0,27.1,24
12/2/2012,3:45:00 PM,0,27.4,23.8
12/2/2012,4:00:00 PM,0,28.1,23.5
12/2/2012,4:15:00 PM,0,28,23.2
12/2/2012,4:30:00 PM,0,27.8,23
12/2/2012,4:45:00 PM,0,28.2,22.7
12/2/2012,5:00:00 PM,0,29,22.3
12/2/2012,5:15:00 PM,0,30,21.4
12/2/2012,5:30:00 PM,0,30.4,20.9
12/2/2012,5:45:00 PM,0,31,20.2
12/2/2012,6:00:00 PM,0,33.4,19.3
12/2/2012,6:15:00 PM,0,36.8,18.7
12/2/2012,6:30:00 PM,0,40.7,18.1
12/2/2012,6:45:00 PM,0,43.3,17.8
12/2/2012,7:00:00 PM,0,44.9,17.5
12/2/2012,7:15:00 PM,0,46.6,17.2
12/2/2012,7:30:00 PM,0,47.7,16.9
12/2/2012,7:45:00 PM,0,47.2,16.6
12/2/2012,8:00:00 PM,0,46,16.6
12/2/2012,8:15:00 PM,0,45.4,16.4
12/2/2012,8:30:00 PM,0,43.2,16.5
12/2/2012,8:45:00 PM,0,41.4,16.8
12/2/2012,9:00:00 PM,0,40.9,16.8
12/2/2012,9:15:00 PM,0,40.3,16.8
12/2/2012,9:30:00 PM,0,40.1,16.8
12/2/2012,9:45:00 PM,0,40.9,16.7
12/2/2012,10:00:00 PM,0,44.2,15.8
12/2/2012,10:15:00 PM,0,45.9,15.3
12/2/2012,10:30:00 PM,0,49.2,14.5
12/2/2012,10:45:00 PM,0,52,13.7
12/2/2012,11:00:00 PM,0,53.4,13.4
12/2/2012,11:15:00 PM,0,53.7,13.1
12/2/2012,11:30:00 PM,0,53.3,13.2
12/2/2012,11:45:00 PM,0,55.5,12.7
12/3/2012,12:00:00 AM,0,56.1,12.6
12/3/2012,12:15:00 AM,0,55.7,12.9
12/3/2012,12:30:00 AM,0,56.2,12.8
12/3/2012,12:45:00 AM,0,57.3,12.6
12/3/2012,1:00:00 AM,0,59.6,12.3
12/3/2012,1:15:00 AM,0,59.9,12.4
